更新时间: 2025-01-05 15:43:52
央视频道,#genre#
CCTV1,http://221.222.162.206:8888/udp/239.3.1.129:8008$线路2#http://114.240.44.242:8888/udp/239.3.1.129:8008$线路1#http://1.203.111.193:17777/udp/225.1.8.1:8008$线路3
CCTV2,http://221.222.162.206:8888/udp/239.3.1.60:8084$线路2#http://114.240.44.242:8888/udp/239.3.1.60:8084$线路1#http://1.203.111.193:17777/udp/225.1.8.2:8084$线路3
CCTV3,http://221.222.162.206:8888/udp/239.3.1.172:8001$线路2#http://114.240.44.242:8888/udp/239.3.1.172:8001$线路1#http://1.203.111.193:17777/udp/225.1.8.88:8000$线路3
CCTV4,http://221.222.162.206:8888/udp/239.3.1.105:8092$线路2#http://114.240.44.242:8888/udp/239.3.1.105:8092$线路1#http://1.203.111.193:17777/udp/225.1.8.4:8092$线路3
CCTV4欧洲,http://221.222.162.206:8888/udp/239.3.1.213:4220$线路2#http://114.240.44.242:8888/udp/239.3.1.213:4220$线路1
CCTV4美洲,http://221.222.162.206:8888/udp/239.3.1.214:4220$线路2#http://114.240.44.242:8888/udp/239.3.1.214:4220$线路1
CCTV5,http://221.222.162.206:8888/udp/239.3.1.173:8001$线路2#http://114.240.44.242:8888/udp/239.3.1.173:8001$线路1#http://1.203.111.193:17777/udp/225.1.8.89:8000$线路3
CCTV5+,http://221.222.162.206:8888/udp/239.3.1.130:8004$线路2#http://114.240.44.242:8888/udp/239.3.1.130:8004$线路1#http://1.203.111.193:17777/udp/225.1.8.20:8004$线路3
CCTV6,http://221.222.162.206:8888/udp/239.3.1.174:8001$线路2#http://114.240.44.242:8888/udp/239.3.1.174:8001$线路1#http://1.203.111.193:17777/udp/225.1.8.84:8000$线路3
CCTV7,http://221.222.162.206:8888/udp/239.3.1.61:8104$线路2#http://114.240.44.242:8888/udp/239.3.1.61:8104$线路1#http://1.203.111.193:17777/udp/225.1.8.7:8104$线路3
CCTV8,http://221.222.162.206:8888/udp/239.3.1.175:8001$线路2#http://114.240.44.242:8888/udp/239.3.1.175:8001$线路1#http://1.203.111.193:17777/udp/225.1.8.85:8000$线路3
CCTV9,http://221.222.162.206:8888/udp/239.3.1.62:8112$线路2#http://114.240.44.242:8888/udp/239.3.1.62:8112$线路1#http://1.203.111.193:17777/udp/225.1.8.9:8112$线路3
CCTV10,http://221.222.162.206:8888/udp/239.3.1.63:8116$线路2#http://114.240.44.242:8888/udp/239.3.1.63:8116$线路1#http://1.203.111.193:17777/udp/225.1.8.10:8116$线路3
