CCTV1,rtp://239.93.0.184:5140$四川cmc
CCTV2,rtp://239.93.1.23:6000$四川cmc
CCTV3,rtp://239.93.1.11:2223$四川cmc
CCTV4,rtp://239.93.1.105:5140$四川cmc
CCTV5,rtp://239.93.1.36:8004$四川cmc
CCTV6,rtp://239.93.1.13:2226$四川cmc
CCTV7,rtp://239.93.1.67:5140$四川cmc
CCTV8,rtp://239.93.42.39:5140$四川cmc
CCTV9,rtp://239.93.1.24:5140$四川cmc
CCTV10,rtp://239.93.1.28:5140$四川cmc
CCTV11,rtp://239.93.0.102:5140$四川cmc
CCTV12,rtp://239.93.1.30:8124$四川cmc
CCTV13,rtp://239.93.0.66:5140$四川cmc
CCTV14,rtp://239.93.1.29:6000$四川cmc
CCTV15,rtp://239.93.0.103:5140$四川cmc
CCTV17,rtp://239.93.0.92:5140$四川cmc
CETV1,rtp://239.93.1.111:5140$四川cmc
CETV2,rtp://239.93.0.113:5140$四川cmc
CCTV第一剧场,rtp://239.93.1.197:5140$四川cmc
CCTV高尔夫网球,rtp://239.93.1.54:5140$四川cmc
CCTV文化精品,rtp://239.93.42.47:5140$四川cmc
CCTV怀旧剧场,rtp://239.93.1.198:5140$四川cmc
安徽卫视,rtp://239.93.1.106:5140$四川cmc
北京卫视,rtp://239.93.0.180:5140$四川cmc
东方卫视,rtp://239.93.0.123:5140$四川cmc
东南卫视,rtp://239.93.0.42:5140$四川cmc
甘肃卫视,rtp://239.93.0.81:5140$四川cmc
广东卫视,rtp://239.93.0.181:5140$四川cmc
广西卫视,rtp://239.93.42.46:5140$四川cmc
贵州卫视,rtp://239.93.0.131:5140$四川cmc
河北卫视,rtp://239.93.0.132:5140$四川cmc
河南卫视,rtp://239.93.42.45:5140$四川cmc
河南卫视,rtp://239.93.1.113:5140$四川cmc
黑龙江卫视,rtp://239.93.0.183:5140$四川cmc
湖北卫视,rtp://239.93.0.250:5140$四川cmc
湖南卫视,rtp://239.93.0.88:5140$四川cmc
吉林卫视,rtp://239.93.0.248:5140$四川cmc
江苏卫视,rtp://239.93.0.89:5140$四川cmc
江西卫视,rtp://239.93.0.134:5140$四川cmc
金鹰纪实,rtp://239.93.0.130:5140$四川cmc
厦门卫视,rtp://239.93.42.57:5140$四川cmc
山东卫视,rtp://239.93.0.168:5140$四川cmc
深圳卫视,rtp://239.93.0.182:5140$四川cmc
四川卫视,rtp://239.93.0.169:5140$四川cmc
天津卫视,rtp://239.93.0.167:5140$四川cmc
云南卫视,rtp://239.93.1.174:5140$四川cmc
浙江卫视,rtp://239.93.0.124:5140$四川cmc
重庆卫视,rtp://239.93.1.107:5140$四川cmc
陕西卫视,rtp://239.93.0.143:5140$四川cmc
纪实科教,rtp://239.93.0.141:5140$四川cmc
求索纪录,rtp://239.93.42.24:5140$四川cmc
纪实人文,rtp://239.93.1.137:5140$四川cmc
凤凰卫视中文台,rtp://239.93.0.162:2192$四川cmc
凤凰卫视中文台,rtp://239.93.1.9:2192$四川cmc
凤凰卫视资讯台,rtp://239.93.0.118:2191$四川cmc
凤凰卫视资讯台,rtp://239.93.1.4:2191$四川cmc
星空卫视,rtp://239.93.0.156:2193$四川cmc
星空卫视,rtp://239.93.1.10:2193$四川cmc
channel-v,rtp://239.93.0.157:2194$四川cmc
channel-v,rtp://239.93.1.7:2194$四川cmc
康巴卫视,rtp://239.93.0.41:5140$四川cmc
星光院线,rtp://239.93.0.139:5140$四川mc
全球大片,rtp://239.93.0.105:5140$四川mc
华语影院,rtp://239.93.0.138:5140$四川mc
谍战剧场,rtp://239.93.0.95:5140$四川mc
都市剧场,rtp://239.93.42.30:5140$四川mc
峨眉电影,rtp://239.93.0.252:5140$四川mc
爱电竞,rtp://239.93.42.19:5140$四川mc
爱谍战,rtp://239.93.42.14:5140$四川mc
爱动漫,rtp://239.93.42.23:5140$四川mc
爱怀旧,rtp://239.93.42.21:5140$四川mc
爱经典,rtp://239.93.42.13:5140$四川mc
爱科幻,rtp://239.93.42.10:5140$四川mc
爱奇谈,rtp://239.93.42.22:5140$四川mc
爱青春,rtp://239.93.42.16:5140$四川mc
爱赛车,rtp://239.93.42.20:5140$四川mc
爱玩具,rtp://239.93.42.18:5140$四川mc
爱喜剧,rtp://239.93.42.9:5140$四川mc
爱悬疑,rtp://239.93.42.12:5140$四川mc
爱幼教,rtp://239.93.42.17:5140$四川mc
爱院线,rtp://239.93.42.11:5140$四川mc
梨园,rtp://239.93.1.195:5140$四川cmc
天元围棋,rtp://239.93.42.55:5140$四川cmc
戏曲精选,rtp://239.93.0.144:5140$四川cmc
青春动漫rtp://239.93.0.146:5140$四川cmc
红色经典,rtp://239.93.1.176:5140$四川cmc
宝宝动画,rtp://239.93.0.147:5140$四川cmc
乐龄学堂,rtp://239.93.1.179:5140$四川cmc
少儿天地,rtp://239.93.42.34:5140$四川cmc
哈哈炫动,rtp://239.93.0.173:5140$四川cmc
优漫卡通,rtp://239.93.0.251:5140$四川cmc
嘉佳卡通,rtp://239.93.0.246:5140$四川cmc
云演艺,rtp://239.93.42.60:5140$四川cmc
环球旅游,rtp://239.93.42.31:5140$四川cmc
经典电影,rtp://239.93.0.57:9024$四川cmc
睛彩四川,rtp://239.93.0.126:5140$四川cmc
军事,rtp://239.93.0.204:9076$四川cmc
魅力,rtp://239.93.0.190:9012$四川cmc
墨宝,rtp://239.93.0.215:9132$四川cmc
电竞,rtp://239.93.1.135:5140$四川cmc
游戏,rtp://239.93.0.136:5140$四川cmc
