WN内蒙古卫视,rtp://239.16.20.91:10910$河南cmc
WN宁夏卫视,rtp://239.16.20.92:10920$河南cmc
WX新疆卫视,rtp://239.16.20.93:10930$河南cmc
WX西藏卫视,rtp://239.16.20.100:11000$河南cmc
WQ青海卫视,rtp://239.16.20.101:11010$河南cmc

Y都市剧场,rtp://239.16.20.38:10380$河南cmc
Y乐游频道,rtp://239.16.20.111:11110$河南cmc
Y游戏风云,rtp://239.16.20.112:11120$河南cmc
Y生活时尚,rtp://239.16.20.114:11140$河南cmc
Y金色学堂,rtp://239.16.20.115:11150$河南cmc
Y优漫卡通,rtp://239.16.20.103:11030$河南cmc
Y金鹰卡通,rtp://239.16.20.104:11040$河南cmc
Y卡酷少儿,rtp://239.16.20.105:11050$河南cmc
Y哈哈炫动,rtp://239.16.20.106:11060$河南cmc
Y嘉佳卡通,rtp://239.16.20.107:11070$河南cmc
