CCTV1,rtp://225.1.4.73:1102
CCTV2,rtp://225.1.4.74:1103
CCTV3,rtp://225.1.4.158:1194
CCTV4,rtp://225.1.5.30:1333
CCTV5,rtp://225.1.4.159:1195
CCTV5+,rtp://225.1.4.75:1104
CCTV6,rtp://225.1.4.160:1196
CCTV7,rtp://225.1.4.76:1105
CCTV8,rtp://225.1.4.161:1197
CCTV9,rtp://225.1.4.77:1106
CCTV10,rtp://225.1.4.78:1107
CCTV11,rtp://225.1.4.215:1268
CCTV12,rtp://225.1.4.79:1108
CCTV13,rtp://225.1.4.113:1293
CCTV14,rtp://225.1.4.80:1109
CCTV15,rtp://225.1.4.216:1269
CCTV16,rtp://225.1.5.46:1356
CCTV17,rtp://225.1.4.226:2506

CETV1,rtp://225.1.4.173:1712
CETV2,rtp://225.1.4.165:1206
CETV4,rtp://225.1.4.171:1710
厦门卫视,rtp://225.1.4.95:1124
兵团卫视,rtp://225.1.4.97:1126
山东教育卫视,rtp://225.1.4.164:1205
三沙卫视,rtp://225.1.4.234:1280
CHC家庭影院,rtp://225.1.4.209:1262
CHC动作电影,rtp://225.1.4.208:1261
CHC高清电影,rtp://225.1.4.207:1260
