WS山西卫视,rtp://233.50.201.51:5140$浙江cmc
WH海南卫视,rtp://233.50.201.103:5140$浙江cmc
WN宁夏卫视,rtp://233.50.201.57:5140$浙江cmc
WQ青海卫视,rtp://233.50.201.65:5140$浙江cmc
WX西藏卫视,rtp://233.50.201.70:5140$浙江cmc
WB兵团卫视,rtp://233.50.201.72:5140$浙江cmc
IV凤凰卫视中文台,rtp://233.50.200.42:5140$浙江cmc
IV凤凰卫视资讯台,rtp://233.50.200.192:5140$浙江cmc
Y都市剧场,rtp://233.50.200.11:5140$浙江cmc
Y欢笑剧场,rtp://233.50.200.229:5140$浙江cmc
Y动漫秀场,rtp://233.50.200.12:5140$浙江cmc
Y游戏风云,rtp://233.50.200.14:5140$浙江cmc
Y生活时尚,rtp://233.50.200.15:5140$浙江cmc
Y金色学堂,rtp://233.50.200.122:5140$浙江cmc
Y乐游频道,rtp://233.50.200.148:5140$浙江cmc
Y金鹰卡通,rtp://233.50.201.73:5140$浙江cmc
Y哈哈炫动,rtp://233.50.201.74:5140$浙江cmc
