CCTV1,rtp:// 239.254.96.96:8550$湖北cmc
CCTV2,rtp:// 239.69.1.102:10250$湖北cmc
CCTV3,rtp:// 239.69.1.122:10370$湖北cmc
CCTV4,rtp:// 239.69.1.138:10466$湖北cmc
CCTV4欧,rtp://239.69.1.231:11028$湖北cmc
CCTV4美,rtp://239.69.1.232:11034$湖北cmc
CCTV5,rtp:// 239.69.1.123:10376$湖北cmc
CCTV5+,rtp://239.254.96.234:9484$湖北cmc
CCTV6,rtp://239.69.1.124:10382$湖北cmc
CCTV7,rtp://239.69.1.103:10256$湖北cmc
CCTV8,rtp://239.69.1.125:10388$湖北cmc
CCTV9,rtp://239.69.1.104:10262$湖北cmc
CCTV10,rtp://239.69.1.105:10268$湖北cmc
CCTV11,rtp://239.69.1.154:10560$湖北cmc
CCTV12,rtp://239.69.1.106:10274$湖北cmc
CCTV13,rtp://239.254.96.161:9040$湖北cmc
CCTV14,rtp://239.69.1.107:10280$湖北cmc
CCTV15,rtp://239.69.1.155:10566$湖北cmc
CCTV16,rtp://239.69.1.247:11124$湖北cmc
CCTV17,rtp://239.69.1.152:10548$湖北cmc

CHC家庭影院,rtp://239.69.1.243:11100$湖北cmc
CHC动作电影,rtp://239.69.1.242:11094$湖北cmc
CHC高清电影,rtp://239.69.1.241:11088$湖北cmc
Y卡酷少儿,rtp://239.69.1.193:10800$湖北cmc
Y金鹰卡通,rtp://239.69.1.248:11130$湖北cmc
Y金鹰纪实,rtp://239.69.1.109:10292$湖北cmc
