CCTV4欧,rtp://239.76.246.95:1234
CCTV4美,rtp://239.76.246.96:1234
WQ青海卫视,rtp://239.76.254.132:9000
CHC家庭电影,rtp://239.76.245.241:1234
CHC动作电影,rtp://239.76.245.243:1234
CHC高清电影,rtp://239.76.245.242:1234
IV凤凰卫视资讯台,rtp://239.76.246.8:1234
IV凤凰卫视中文台,rtp://239.76.246.7:1234
Y欢笑剧场,rtp://239.76.246.130:1234
Y都市剧场,rtp://239.76.246.215:1234
Y动漫秀场,rtp://239.76.246.131:1234
Y游戏风云,rtp://239.76.246.132:1234
Y生活时尚,rtp://239.76.246.223:1234
Y金鹰卡通,rtp://239.76.246.107:1234
Y金鹰纪实,rtp://239.76.246.110:1234
