CCTV1,rtp://238.255.2.91:5999$毕节cmc
CCTV2,rtp://238.255.2.11:5999$毕节cmc
CCTV3,rtp://238.255.2.133:5999$毕节cmc
CCTV4,rtp://238.255.2.92:5999$毕节cmc
CCTV4欧,rtp://238.255.2.213:5999$毕节cmc
CCTV4美,rtp://238.255.2.214:5999$毕节cmc
CCTV5,rtp://238.255.2.134:5999$毕节cmc
CCTV5+,rtp://238.255.2.185:5999$毕节cmc
CCTV6,rtp://238.255.2.135:5999$毕节cmc
CCTV7,rtp://238.255.2.12:5999$毕节cmc
CCTV8,rtp://238.255.2.136:5999$毕节cmc
CCTV9,rtp://238.255.2.155:5999$毕节cmc
CCTV10,rtp://238.255.2.13:5999$毕节cmc
CCTV11,rtp://238.255.2.14:5999$毕节cmc
CCTV12,rtp://238.255.2.15:5999$毕节cmc
CCTV13,rtp://238.255.2.16:5999$毕节cmc
CCTV14,rtp://238.255.2.17:5999$毕节cmc
CCTV15,rtp://238.255.2.18:5999$毕节cmc
CCTV16,rtp://238.255.2.217:5999$毕节cmc
CCTV17,rtp://238.255.2.137:5999$毕节cmc
CF兵器科技,rtp://238.255.2.34:5999$毕节cmc
CF第一剧场,rtp://238.255.2.25:5999$毕节cmc
CF风云剧场,rtp://238.255.2.28:5999$毕节cmc
CF风云音乐,rtp://238.255.2.24:5999$毕节cmc
CF风云足球,rtp://238.255.2.29:5999$毕节cmc
CF高尔夫网球,rtp://238.255.2.223:5999$毕节cmc
CF怀旧剧场,rtp://238.255.2.33:5999$毕节cmc
CF女性时尚,rtp://238.255.2.27:5999$毕节cmc
CF世界地理,rtp://238.255.2.26:5999$毕节cmc
CF央视台球,rtp://238.255.2.224:5999$毕节cmc
CF文化精品,rtp://238.255.2.32:5999$毕节cmc
CETV1,rtp://238.255.2.105:5999$毕节cmc
CETV2,rtp://238.255.2.221:5999$毕节cmc
CETV4,rtp://238.255.2.222:5999$毕节cmc
WA安徽卫视,rtp://238.255.2.101:5999$毕节cmc
WB北京卫视,rtp://238.255.2.81:5999$毕节cmc
WC重庆卫视,rtp://238.255.2.78:5999$毕节cmc
WD东方卫视,rtp://238.255.2.98:5999$毕节cmc
WD东南卫视,rtp://238.255.2.103:5999$毕节cmc
WG贵州卫视,rtp://238.255.2.1:5999$毕节cmc
WG甘肃卫视,rtp://238.255.2.73:5999$毕节cmc
大湾区卫视,rtp://238.255.2.60:5999$毕节cmc
WG广东卫视,rtp://238.255.2.59:5999$毕节cmc
WH海南卫视,rtp://238.255.2.58:5999$毕节cmc
WH河北卫视,rtp://238.255.2.77:5999$毕节cmc
WH河南卫视,rtp://238.255.2.74:5999$毕节cmc
WH黑龙江卫视,rtp://238.255.2.96:5999$毕节cmc
WH湖北卫视,rtp://238.255.2.102:5999$毕节cmc
WH湖南卫视,rtp://238.255.2.93:5999$毕节cmc
WJ吉林卫视,rtp://238.255.2.95:5999$毕节cmc
WJ江苏卫视,rtp://238.255.2.104:5999$毕节cmc
WJ江西卫视,rtp://238.255.2.94:5999$毕节cmc
WL辽宁卫视,rtp://238.255.2.69:5999$毕节cmc
WQ青海卫视,rtp://238.255.2.51:5999$毕节cmc
WX厦门卫视,rtp://238.255.2.205:5999$毕节cmc
WS山东卫视,rtp://238.255.2.97:5999$毕节cmc
WS深圳卫视,rtp://238.255.2.61:5999$毕节cmc
WS四川卫视,rtp://238.255.2.76:5999$毕节cmc
WT天津卫视,rtp://238.255.2.99:5999$毕节cmc
WZ浙江卫视,rtp://238.255.2.100:5999$毕节cmc
X金鹰纪实,rtp://238.255.2.108:5999$毕节cmc
Y金鹰卡通,rtp://238.255.2.55:5999$毕节cmc
X纪实人文,rtp://238.255.2.106:5999$毕节cmc
X纪实科教,rtp://238.255.2.107:5999$毕节cmc
西藏卫视藏,rtp://238.255.2.23:5999$毕节cmc
西藏卫视汉,rtp://238.255.2.65:5999$毕节cmc
新疆卫视,rtp://238.255.2.66:5999$毕节cmc
云南卫视,rtp://238.255.2.63:5999$毕节cmc
安多卫视,rtp://238.255.2.189:5999$毕节cmc
广西卫视,rtp://238.255.2.64:5999$毕节cmc
兵团卫视,rtp://238.255.2.67:5999$毕节cmc
内蒙古卫视,rtp://238.255.2.53:5999$毕节cmc
宁夏卫视,rtp://238.255.2.75:5999$毕节cmc
山东教育卫视,rtp://238.255.2.79:5999$毕节cmc
哈哈炫动,rtp://238.255.2.56:5999$毕节cmc
嘉佳卡通,rtp://238.255.2.62:5999$毕节cmc
优漫卡通,rtp://238.255.2.57:5999$毕节cmc
