WC重庆卫视,rtp://235.254.196.249:1268
WJ江苏卫视,rtp://235.254.198.64:1532
WZ浙江卫视,rtp://235.254.198.63:1528
WD东方卫视,rtp://235.254.198.73:1568
WS深圳卫视,rtp://235.254.198.71:1560
WB北京卫视,rtp://235.254.198.66:1540
WS山东卫视,rtp://235.254.198.69:1552
WT天津卫视,rtp://235.254.198.67:1544
WG贵州卫视,rtp://235.254.198.185:7980
WS四川卫视,rtp://235.254.198.175:7980
WY云南卫视,rtp://235.254.198.25:1376
WG广西卫视,rtp://235.254.198.38:1428
WH黑龙江卫视,rtp://235.254.198.70:1556
WA安徽卫视,rtp://235.254.198.65:1536
WS山西卫视,rtp://235.254.198.41:1440
WJ江西卫视,rtp://235.254.198.29:1392
WH湖北卫视,rtp://235.254.198.72:1564
WS陕西卫视,rtp://235.254.198.40:1436
WD东南卫视,rtp://235.254.198.129:7980
WJ吉林卫视,rtp://235.254.198.39:1432
WL辽宁卫视,rtp://235.254.198.68:1548
WN内蒙古卫视,rtp://235.254.198.42:1444
WH湖南卫视,rtp://235.254.198.62:1524
WG广东卫视,rtp://235.254.196.204:1088
WH河南卫视,rtp://235.254.198.26:1380
WH河北卫视,rtp://235.254.198.184:7980
WN宁夏卫视,rtp://235.254.198.45:1456
WG甘肃卫视,rtp://235.254.198.48:1468
WQ青海卫视,rtp://235.254.198.43:1448
WX新疆卫视,rtp://235.254.198.47:1464
WX西藏卫视,rtp://235.254.198.46:1460

Y卡酷少儿,rtp://235.254.198.49:1472
Y金鹰卡通,rtp://235.254.198.50:1476
Y嘉佳卡通,rtp://235.254.198.110:1716


