央视,#genre#
CCTV1,http://tnvcn.com:8012/rtp/239.3.1.129:8008$北京uni1+
CCTV2,http://tnvcn.com:8012/rtp/239.3.1.60:8084$北京uni1+
CCTV3,http://tnvcn.com:8012/rtp/239.3.1.172:8001$北京uni1+
CCTV4,http://tnvcn.com:8012/rtp/239.3.1.105:8092$北京uni1+
CCTV5,http://tnvcn.com:8012/rtp/239.3.1.173:8001$北京uni1+
CCTV5+,http://tnvcn.com:8012/rtp/239.3.1.130:8004$北京uni1+
CCTV6,http://tnvcn.com:8012/rtp/239.3.1.174:8001$北京uni1+
CCTV7,http://tnvcn.com:8012/rtp/239.3.1.61:8104$北京uni1+
CCTV8,http://tnvcn.com:8012/rtp/239.3.1.175:8001$北京uni1+
CCTV9,http://tnvcn.com:8012/rtp/239.3.1.62:8112$北京uni1+
CCTV10,http://tnvcn.com:8012/rtp/239.3.1.63:8116$北京uni1+
CCTV11,http://tnvcn.com:8012/rtp/239.3.1.152:8120$北京uni1+
CCTV12,http://tnvcn.com:8012/rtp/239.3.1.64:8124$北京uni1+
CCTV13,http://tnvcn.com:8012/rtp/239.3.1.124:8128$北京uni1+
CCTV14,http://tnvcn.com:8012/rtp/239.3.1.65:8132$北京uni1+
CCTV15,http://tnvcn.com:8012/rtp/239.3.1.153:8136$北京uni1+
CCTV16,http://tnvcn.com:8012/rtp/239.3.1.184:8001$北京uni1+
CCTV17,http://tnvcn.com:8012/rtp/239.3.1.151:8144$北京uni1+

CCTV4欧,http://www.lizhinas.top:8688/rtp/239.252.219.192:5140$江西cmc1+
CCTV4美,http://www.lizhinas.top:8688/rtp/239.252.219.193:5140$江西cmc1+

CETV1,http://op.sev7.net:4022/rtp/239.254.200.225:6259$河北cmc1+
CETV2,http://xubo0712.asuscomm.cn:9999/rtp/239.93.0.113:5140$四川cmc1+
CETV4,http://op.sev7.net:4022/rtp/239.254.200.227:6261$河北cmc1+
CETV5,http://op.sev7.net:4022/rtp/239.254.201.230:7253$河北cmc1+


CF文化精品,http://www.lizhinas.top:8688/rtp/239.252.219.81:5140$江西cmc1+
CF央视台球,http://www.lizhinas.top:8688/rtp/239.252.219.80:5140$江西cmc1+
CF风云音乐,http://www.lizhinas.top:8688/rtp/239.252.219.87:5140$江西cmc1+
CF第一剧场,http://www.lizhinas.top:8688/rtp/239.252.219.86:5140$江西cmc1+
CF风云剧场,http://www.lizhinas.top:8688/rtp/239.252.219.89:5140$江西cmc1+
CF怀旧剧场,http://www.lizhinas.top:8688/rtp/239.252.219.90:5140$江西cmc1+
CF女性时尚,http://www.lizhinas.top:8688/rtp/239.252.219.94:5140$江西cmc1+
CF高尔夫网球,http://www.lizhinas.top:8688/rtp/239.252.219.95:5140$江西cmc1+
CF风云足球,http://www.lizhinas.top:8688/rtp/239.252.219.96:5140$江西cmc1+
CF电视指南,http://www.lizhinas.top:8688/rtp/239.252.219.97:5140$江西cmc1+
CF世界地理,http://www.lizhinas.top:8688/rtp/239.252.219.93:5140$江西cmc1+
CF兵器科技,http://www.lizhinas.top:8688/rtp/239.252.219.98:5140$江西cmc1+

卫视,#genre#
WA安徽卫视,http://tnvcn.com:8012/rtp/239.3.1.211:8064$北京uni1+
WB北京卫视,http://tnvcn.com:8012/rtp/239.3.1.241:8000$北京uni1+
WD东方卫视,http://tnvcn.com:8012/rtp/239.3.1.136:8032$北京uni1+
WD东南卫视,http://tnvcn.com:8012/rtp/239.3.1.156:8148$北京uni1+
WG广东卫视,http://tnvcn.com:8012/rtp/239.3.1.142:8048$北京uni1+
WG贵州卫视,http://tnvcn.com:8012/rtp/239.3.1.149:8076$北京uni1+
WH黑龙江卫视,http://tnvcn.com:8012/rtp/239.3.1.133:8016$北京uni1+
WH湖北卫视,http://tnvcn.com:8012/rtp/239.3.1.138:8044$北京uni1+
WH湖南卫视,http://tnvcn.com:8012/rtp/239.3.1.132:8012$北京uni1+
WJ吉林卫视,http://tnvcn.com:8012/rtp/239.3.1.240:8172$北京uni1+
WJ江苏卫视,http://tnvcn.com:8012/rtp/239.3.1.135:8028$北京uni1+
